chart,difficulty,difficulty_level,song_title_eng,song_title_jpn,cluster,total_notes,bpm,duration_seconds,pca_x,pca_y
76_easy.svg,easy,6,SEKAI,セカイ,0,143,133.0,112.0,-2.835849215753745,0.1991985760358542
557_easy.svg,easy,6,,花溺れ,0,145,128.0,126.0,-2.8935760468058076,-0.03856289491604884
667_easy.svg,easy,6,,㋰責任集合体,0,145,135.0,121.0,-2.710970377640707,0.24186821609318682
27_easy.svg,easy,6,Just Be Friends,Just Be Friends,0,148,128.0,132.0,-2.9289447123146757,-0.021453177242556576
418_easy.svg,easy,6,Osmanthus,金木犀,0,149,123.0,123.0,-3.014971776666814,-0.24570463066581794
565_easy.svg,easy,6,,夏に透明,0,151,128.0,121.0,-2.868243024880997,-0.05177133967416994
432_easy.svg,easy,6,Kyo-Fu All Back,強風オールバック,0,155,135.0,137.0,-2.6925072232759715,0.23786266572379475
15_easy.svg,easy,6,drop pop candy,drop pop candy,0,156,130.0,106.0,-2.7393290359657185,-0.0119964402704607
137_easy.svg,easy,6,Singing of a flower,花を唄う,0,157,115.0,110.0,-3.1399636107917046,-0.6080329743193928
483_easy.svg,easy,6,A Word,アコトバ,0,157,125.0,130.0,-2.943002849320025,-0.17381510439627929
513_easy.svg,easy,6,,CH4NGE,0,158,115.0,135.0,-3.155957629035711,-0.6009978675635497
207_easy.svg,easy,6,Peaky Peaky,Peaky Peaky,0,159,132.0,105.0,-2.800662146153737,0.12975615285307213
144_easy.svg,easy,6,Love material,アイノマテリアル,0,159,120.0,124.0,-3.0286038074943735,-0.39865695078622154
275_easy.svg,easy,6,paradichlorobenzene,パラジクロロベンゼン,0,160,122.5,149.0,-2.910107188737603,-0.35526515768678524
105_easy.svg,easy,6,once upon a dream,ワンスアポンアドリーム,0,161,132.0,112.0,-2.766164582667856,0.11223470893662643
505_easy.svg,easy,6,Call Boy,コールボーイ,0,162,109.0,124.0,-3.2576828968323714,-0.8686206432251637
441_easy.svg,easy,6,Yoidore Shirazu,酔いどれ知らず,0,163,115.0,136.0,-3.110882520258514,-0.6245305109429256
211_easy.svg,easy,6,IF,イフ,0,163,135.0,130.0,-2.720500520598228,0.2518588870474104
415_easy.svg,easy,6,Lucky☆Orb,ラッキー☆オーブ,0,165,126.0,120.0,-2.9486648276478897,-0.11749702466675702
44_easy.svg,easy,6,Hand in Hand,Hand in Hand,0,165,128.0,123.0,-2.824058703806142,-0.07593791196009517
279_easy.svg,easy,6,This is the Happiness and Peace of Mind Committee,こちら、幸福安心委員会です。,0,166,128.0,146.0,-2.871068781067415,-0.04741051872619656
376_easy.svg,easy,6,Selfish princess,我儘姫,0,171,121.095,141.0,-2.88805689859378,-0.41775183242707625
539_easy.svg,easy,6,,イレヴンス,0,172,128.0,98.0,-2.8406139662310843,-0.06523135213968853
495_easy.svg,easy,6,Super Hero,スーパーヒーロー,0,172,132.0,115.0,-2.7300054362463237,0.09265261694512567
522_easy.svg,easy,6,WAVE,WAVE,0,174,130.0,117.0,-2.752049184050773,-0.0034122044189254727
87_easy.svg,easy,6,Love Trial,恋愛裁判,0,174,134.0,132.0,-2.711407270971319,0.1934458713159829
143_easy.svg,easy,6,Traffic jam,トラフィック・ジャム,0,177,130.0,129.0,-2.8081223924032246,0.02940914596468733
201_easy.svg,easy,6,At God's Mercy,神のまにまに,0,179,135.0,133.0,-2.6619992141413236,0.22286297399629293
383_easy.svg,easy,6,purpose,purpose,0,179,130.0,108.0,-2.7320132843433447,-0.014492606518220303
183_easy.svg,easy,6,fixer,フィクサー,0,179,135.0,122.0,-2.6767746671388997,0.23055959001342624
507_easy.svg,easy,6,Empurple,エンパープル,0,181,136.0,125.0,-2.6493625911382255,0.26779823159232424
139_easy.svg,easy,6,Into The Night,夜に駆ける,0,182,130.0,139.0,-2.815673710005329,0.0327634553871284
95_easy.svg,easy,6,Ifuudoudou,威風堂々,0,188,130.0,145.0,-2.7502435369449323,-0.0011136810217505107
603_easy.svg,easy,6,,ドレミファロンド,0,189,125.0,130.0,-2.833203168982004,-0.22592285398877324
350_easy.svg,easy,6,Gift from the Princess who Brought Sleep,眠らせ姫からの贈り物,0,191,126.0,135.0,-2.7886220059832696,-0.19918493876213228
582_easy.svg,easy,6,,アンチユー,0,192,129.0,119.0,-2.7156784433934344,-0.07148599877584436
313_easy.svg,easy,6,FREELY TOMORROW,FREELY TOMORROW,0,193,129.0,138.0,-2.805967871993244,-0.02406995651954386
8_easy.svg,easy,6,Time Machine,タイムマシン,0,193,126.0,124.0,-2.8712720793090325,-0.15608450412050778
153_easy.svg,easy,6,Miku,Miku,0,200,128.0,155.0,-2.836417411314661,-0.06165742051556494
244_easy.svg,easy,6,Awake Now,Awake Now,0,204,117.0,121.0,-2.9417244736701957,-0.5986120060665608
430_easy.svg,easy,6,"""Hmm,Ah,Ah.""",『んっあっあっ。』,0,204,123.0,128.0,-2.8993721381661177,-0.2990768856816739
217_easy.svg,easy,6,City,街,0,206,128.0,102.0,-2.7510503367450445,-0.10712144435266567
429_easy.svg,easy,6,Hug,はぐ,0,208,120.0,129.0,-2.846242140349474,-0.4892810108204115
319_easy.svg,easy,6,Decade,Decade,0,212,127.0,144.0,-2.802001210221485,-0.1341574270489381
148_easy.svg,easy,6,ray,ray,0,213,132.0,131.0,-2.686377837264103,0.07777110285126057
297_easy.svg,easy,6,p.h.,p.h.,0,214,132.0,111.0,-2.5167273062136997,-0.010977375561598349
638_easy.svg,easy,6,,花弁、それにまつわる音声,0,215,108.0,131.0,-3.130346443078696,-0.9867903372078859
393_easy.svg,easy,6,Un-Lock,Un-Lock,0,215,130.0,139.0,-2.722395271401361,-0.009519468023535657
343_easy.svg,easy,6,Snowman,スノーマン,0,217,127.0,144.0,-2.7219757599396086,-0.17072748191142267
235_easy.svg,easy,6,Journey,Journey,0,219,128.0,166.0,-2.7459273959766644,-0.10359173378560782
542_easy.svg,easy,6,Blackjack,Blackjack,0,221,114.0,130.0,-2.9317390878614185,-0.7576645798166403
352_easy.svg,easy,6,It's just life,命ばっかり,0,221,128.0,130.0,-2.7223431074248476,-0.11809750299886694
493_easy.svg,easy,6,Kyou mo harebare,きょうもハレバレ,0,221,134.0,121.0,-2.5148137578771643,0.09671354932663016
336_easy.svg,easy,6,Be The MUSIC!,Be The MUSIC!,0,225,128.0,155.0,-2.7019077231105944,-0.12833334664841428
123_easy.svg,easy,6,dreamin chuchu,どりーみんチュチュ,0,225,128.0,140.0,-2.665788809710646,-0.14734952796247375
252_easy.svg,easy,6,DREAM PLACE,DREAM PLACE,0,226,136.0,142.0,-2.489037341037559,0.19418021484566567
564_easy.svg,easy,6,The Light That Dwells Here,そこに在る、光。,0,227,132.0,97.0,-2.6522505324580945,0.06259894387862727
218_easy.svg,easy,6,Meru,メリュー,0,228,130.0,140.0,-2.6948687022453215,-0.024206524938379194
272_easy.svg,easy,6,Gehenna,ジェヘナ,0,233,128.0,153.0,-2.7348953768449427,-0.11046286497332843
426_easy.svg,easy,6,On&On,On&On,0,234,126.0,115.0,-2.7925527746039087,-0.1888942483289166
431_easy.svg,easy,6,flos,flos,0,236,118.0,125.0,-2.8617682648743914,-0.5838482926965228
604_easy.svg,easy,6,,Packaged,0,239,125.0,129.0,-2.723202136973989,-0.2804342295619906
222_easy.svg,easy,6,Piano × Forte × Scandal,ピアノ×フォルテ×スキャンダル,0,239,135.0,132.0,-2.4868277170666695,0.13888309435872517
405_easy.svg,easy,6,MOTTO!!!,MOTTO!!!,0,241,130.0,143.0,-2.652649122214769,-0.04159540045502131
205_easy.svg,easy,6,Odo,踊,0,242,128.0,141.0,-2.632104292553352,-0.16280830298798538
253_easy.svg,easy,6,DAYBREAK FRONTLINE,DAYBREAK FRONTLINE,0,247,136.0,139.0,-2.461811478411007,0.1815859048235481
274_easy.svg,easy,6,"Even so, It's OK",それでもいいんだよ,0,248,132.0,128.0,-2.593115465110312,0.029659241703313802
593_easy.svg,easy,6,CrystalSnow,クリスタルスノウ,0,249,135.0,105.0,-2.4861817281603016,0.13661662986952844
338_easy.svg,easy,6,Where shall we go?,Where shall we go?,0,249,119.0,119.0,-2.891397334165632,-0.5113376471715366
318_easy.svg,easy,6,Sharing The World,Sharing The World,0,252,129.0,150.0,-2.7200420557706173,-0.0639440474650492
232_easy.svg,easy,6,blue paint,青色絵具,0,253,126.0,156.0,-2.656474940443562,-0.2592127574940971
330_easy.svg,easy,6,Interviewer,インタビュア,0,254,125.0,145.0,-2.6443770310486996,-0.31325507602410546
362_easy.svg,easy,6,Wonder Style,Wonder Style,0,254,128.0,136.0,-2.6475244675259315,-0.15132523377781976
390_easy.svg,easy,6,Dear,Dear,0,268,135.0,150.0,-2.558945763907553,0.1784658273797671
265_easy.svg,easy,6,Change me,Change me,0,268,135.0,147.0,-2.498189086932107,0.14785842437139932
655_easy.svg,easy,6,,リリィララ,0,272,130.0,123.0,-2.5828154969243164,-0.07644141339557955
342_easy.svg,easy,6,Blue Star,Blue Star,0,272,132.0,147.0,-2.4639788544145516,-0.034011568885610174
228_easy.svg,easy,6,Goodbye,Goodbye,0,275,133.0,126.0,-2.5022871162978335,0.04317660889484922
377_easy.svg,easy,6,Kiss the Villain,悪役にキスシーンを,0,276,124.0,154.0,-2.6556168428831857,-0.3620549705458491
322_easy.svg,easy,6,Uninterrupted Indigo,絶え間なく藍色,0,287,125.0,143.0,-2.522776393756125,-0.37452759499036314
242_easy.svg,easy,6,Torinokocity,トリノコシティ,0,291,135.0,117.0,-2.4177173784602397,0.11315434375535068
497_easy.svg,easy,6,Blazing,烈火,0,305,132.0,139.0,-2.4316298463934944,-0.04667171860876531
326_easy.svg,easy,6,Tenshi no Tsubasa。,天使の翼。,0,312,125.0,169.0,-2.5672566520218356,-0.3451336855639794
368_easy.svg,easy,6,I'm Mine,アイムマイン,0,328,135.0,156.0,-2.27997060072178,0.04711445284355859
312_easy.svg,easy,6,kokoro,ココロ,0,336,125.0,141.0,-2.5244759386124676,-0.3718019027903601
166_easy.svg,easy,7,Glory Steady Go!,Glory Steady Go!,0,120,131.0,99.0,-2.926396991304526,0.1336253955592587
398_easy.svg,easy,7,Beyond the way,Beyond the way,0,153,125.0,116.0,-2.876350644030672,-0.20671448896863498
107_easy.svg,easy,7,Milk Crown on Sonechka,ミルククラウン・オン・ソーネチカ,0,163,127.4567,135.0,-2.8225172510263383,-0.12790701663296483
102_easy.svg,easy,7,Ghost City Tokyo,幽霊東京,0,184,124.0,133.0,-2.84318830611732,-0.27868108787566903
266_easy.svg,easy,7,YY,YY,0,197,123.0,144.0,-2.907924788440038,-0.29448666573811166
194_easy.svg,easy,7,DSCF,妄想感傷代償連盟,0,200,110.0,141.0,-3.147195080274292,-0.8669804514788807
197_easy.svg,easy,7,Last Score,ラストスコア,0,214,134.0,142.0,-2.547633952655801,0.11530367355943158
203_easy.svg,easy,7,Tricologe,トリコロージュ,0,222,130.0,125.0,-2.600589847856235,-0.07056504121771226
444_easy.svg,easy,7,syndrome,心泥夢(syndrome),0,256,123.0,161.0,-2.7344428505946685,-0.3730966081449913
48_easy.svg,easy,7,The World is Mine,ワールドイズマイン,0,307,133.5,170.0,-2.2212334078933975,-0.0437239394891221
81_easy.svg,easy,8,Yobanashi Deceive,夜咄ディセイブ,0,184,130.0,140.0,-2.757739176731918,0.005462994885843018
628_easy.svg,easy,8,,モニタリング,0,223,132.0,133.0,-2.6482746227160865,0.05868349813964706
309_easy.svg,easy,8,Afterglow,Afterglow,0,265,125.875,146.0,-2.6411238000377253,-0.501946364430987
334_easy.svg,easy,8,Vampire's ∞ pathoS,Vampire's ∞ pathoS,0,309,134.0,124.0,-2.447654536327032,0.07581973684407012
433_easy.svg,easy,9,Play-With-Fire,ヒアソビ,0,217,134.0,132.0,-2.547364895441908,0.11739470813618745
372_easy.svg,easy,9,Tengaku,天樂,0,532,116.0,151.0,-2.2042745107867625,-0.9899088295105932
67_normal.svg,normal,10,Jishoumushoku,自傷無色,0,291,120.0,104.0,-2.2579555813696857,-0.759236774659447
74_normal.svg,normal,11,Hitorinbo Envy,独りんぼエンヴィー,0,171,132.0,74.0,-2.5156203339519227,-0.006727025138865807
382_normal.svg,normal,11,Shinpaku Pairing,心拍ペアリング,0,218,134.0,87.0,-2.360142420881777,0.0271808585222475
415_normal.svg,normal,11,Lucky☆Orb,ラッキー☆オーブ,0,220,126.0,120.0,-2.60359691339853,-0.2731016653294532
150_normal.svg,normal,11,TOKIO FUNKA,トキヲ・ファンカ,0,243,108.0,107.0,-2.890466835273754,-1.092264998923642
52_normal.svg,normal,11,Becoming Potatoes,potatoになっていく,0,243,116.0,107.0,-2.611934840397593,-0.800850881938376
209_normal.svg,normal,11,Metamo Re:born,メタモリボン,0,254,123.0,103.0,-2.4526923886169727,-0.5091086665967512
105_normal.svg,normal,11,once upon a dream,ワンスアポンアドリーム,0,264,132.0,112.0,-2.4213575716309625,-0.042384190102569386
263_normal.svg,normal,11,Highlight,Highlight,0,266,130.0,97.0,-2.3982233909505233,-0.15913854029837554
73_normal.svg,normal,11,Near,ニア,0,266,128.0,116.0,-2.4682752088051645,-0.22969294568453996
8_normal.svg,normal,11,Time Machine,タイムマシン,0,268,126.0,124.0,-2.535919941133248,-0.3103912878175868
214_normal.svg,normal,11,My Palette is Full of You,パレットには君がいっぱい,0,294,120.0,133.0,-2.5527983948700705,-0.6208513060240736
212_normal.svg,normal,11,Starry sky melody,星空のメロディー,0,296,113.0,108.0,-2.568950644428249,-0.9826037096546898
405_normal.svg,normal,11,MOTTO!!!,MOTTO!!!,0,298,130.0,143.0,-2.3160488338340706,-0.20099667782992997
513_normal.svg,normal,11,,CH4NGE,0,300,115.0,135.0,-2.4370184615864225,-0.9407508291246406
155_normal.svg,normal,11,Heartbeat #0822,心拍数♯0822,0,308,114.0,123.0,-2.7640022339687653,-0.8334631076301343
309_normal.svg,normal,11,Afterglow,Afterglow,0,330,125.875,146.0,-2.2756615397593922,-0.6001731890697434
222_normal.svg,normal,11,Piano × Forte × Scandal,ピアノ×フォルテ×スキャンダル,0,334,135.0,132.0,-2.1612440257995544,-0.0029140980053487353
319_normal.svg,normal,11,Decade,Decade,0,334,127.0,144.0,-2.3205633466090494,-0.35214043023977776
223_normal.svg,normal,11,Thousand Year Solo,千年の独奏歌,0,335,108.0,151.0,-2.7326921171245315,-1.161499529510645
45_normal.svg,normal,11,39Music!,39みゅーじっく！,0,339,130.0,119.0,-2.0515174433926013,-0.3203024687225825
82_normal.svg,normal,11,alive,alive,0,341,128.0,118.0,-2.309478794242269,-0.44340171313097565
338_normal.svg,normal,11,Where shall we go?,Where shall we go?,0,344,119.0,119.0,-2.1435905501377714,-0.8696088040141864
50_normal.svg,normal,11,Blessing,Blessing,0,347,110.0,132.0,-2.362194550032781,-1.2307830652599687
139_normal.svg,normal,11,Into The Night,夜に駆ける,0,357,130.0,139.0,-2.1298404280215486,-0.27663751851201823
242_normal.svg,normal,11,Torinokocity,トリノコシティ,0,360,135.0,117.0,-2.065429000276816,-0.05328169351878579
313_normal.svg,normal,11,FREELY TOMORROW,FREELY TOMORROW,0,373,129.0,138.0,-2.0468701190939123,-0.37309119377774946
376_normal.svg,normal,11,Selfish princess,我儘姫,0,374,121.095,141.0,-2.088133748324096,-0.7886058617921943
69_normal.svg,normal,11,Fragile,フラジール,0,377,127.0,124.0,-1.9566856064391371,-0.6239962002555631
218_normal.svg,normal,11,Meru,メリュー,0,383,130.0,140.0,-2.147413533179339,-0.27706276649675643
318_normal.svg,normal,11,Sharing The World,Sharing The World,0,384,129.0,150.0,-1.9788226247205636,-0.4143965531245831
262_normal.svg,normal,11,Imperial Girl,帝国少女,0,409,118.0,148.0,-2.3013455891309094,-0.8329177447908648
27_normal.svg,normal,11,Just Be Friends,Just Be Friends,0,410,128.0,132.0,-1.9641441420009444,-0.46099104342157304
362_normal.svg,normal,11,Wonder Style,Wonder Style,0,412,128.0,136.0,-1.718971197893908,-0.5927644970167324
280_normal.svg,normal,11,Hollow,虚ろを扇ぐ,0,455,124.0,156.0,-1.9962751242791734,-0.6638930376626533
191_normal.svg,normal,12,The Servant of Evil,悪ノ召使,0,214,120.0,94.0,-2.674680355602782,-0.5636452277157311
577_normal.svg,normal,12,Smile Symphony,スマイル*シンフォニー,0,216,122.0,94.0,-2.6127948783408765,-0.48284493539198753
510_normal.svg,normal,12,,失敗作少女,0,222,120.0,125.0,-2.7721764199764505,-0.5103299037127987
684_normal.svg,normal,12,,ファイター,0,225,135.0,106.0,-2.4692522649275674,0.13435876997169272
90_normal.svg,normal,12,Close to gray,限りなく灰色へ,0,227,108.0,121.0,-2.940605229668826,-1.075107381774012
564_normal.svg,normal,12,The Light That Dwells Here,そこに在る、光。,0,228,132.0,97.0,-2.468981946390105,-0.02022034910934981
455_normal.svg,normal,12,DOKUZU,ド屑,0,229,115.0,120.0,-2.804677003327124,-0.7676307303614052
557_normal.svg,normal,12,,花溺れ,0,231,128.0,126.0,-2.5179355398758445,-0.21486076566163118
539_normal.svg,normal,12,,イレヴンス,0,235,128.0,98.0,-2.5572628666263046,-0.19432998436634177
471_normal.svg,normal,12,ULTRA C,ULTRA C,0,238,128.0,97.0,-2.495720907753298,-0.22486365681314588
111_normal.svg,normal,12,Cutlery,カトラリー,0,244,108.0,111.0,-2.8505690665296344,-1.1131066068186153
522_normal.svg,normal,12,WAVE,WAVE,0,244,130.0,117.0,-2.5637822334990266,-0.08219634134604502
426_normal.svg,normal,12,On&On,On&On,0,245,126.0,115.0,-2.5683922545643476,-0.2932757002611257
582_normal.svg,normal,12,,アンチユー,0,247,129.0,119.0,-2.478366953760836,-0.17586201480775596
166_normal.svg,normal,12,Glory Steady Go!,Glory Steady Go!,0,247,131.0,99.0,-2.417602712527335,-0.09609732026058143
400_normal.svg,normal,12,We are the Stain Busters!,我らステインバスターズ！,0,252,125.0,104.0,-2.546421237354474,-0.35285316721415083
126_normal.svg,normal,12,Cinema,シネマ,0,254,124.0,106.0,-2.4783312933161428,-0.43985260971489654
187_normal.svg,normal,12,Lower one's eyes,ロウワー,0,258,132.0,107.0,-2.266910116255401,-0.27172217569913604
325_normal.svg,normal,12,Becoming Pigs Yeah Yeah,豚になってyeah yeah,0,259,115.0,121.0,-2.6974008964846634,-0.8127179883700875
594_normal.svg,normal,12,,Call!!,0,260,108.0,102.0,-2.797165333634464,-1.13846355672853
463_normal.svg,normal,12,Happy Cheat Day,ハッピーチートデー,0,266,124.0,123.0,-2.5483367797616507,-0.40399327762843074
607_normal.svg,normal,12,,回る空うさぎ,0,274,120.0,132.0,-2.583933462158556,-0.6040062100343632
527_normal.svg,normal,12,Unpoison,Unpoison,0,275,119.0,122.0,-2.5587074096537754,-0.6651787683791154
593_normal.svg,normal,12,CrystalSnow,クリスタルスノウ,0,278,135.0,105.0,-2.2194659892227984,0.012399071291006815
244_normal.svg,normal,12,Awake Now,Awake Now,0,280,117.0,121.0,-2.5611937839954697,-0.9405105543467629
228_normal.svg,normal,12,Goodbye,Goodbye,0,286,133.0,126.0,-2.284729273532752,-0.05928829906213005
638_normal.svg,normal,12,,花弁、それにまつわる音声,0,286,108.0,131.0,-2.7635432066080505,-1.1521176228083718
217_normal.svg,normal,12,City,街,0,288,128.0,102.0,-2.374494332349175,-0.28071359264983864
483_normal.svg,normal,12,A Word,アコトバ,0,291,125.0,130.0,-2.4619410474558405,-0.39337974071633897
418_normal.svg,normal,12,Osmanthus,金木犀,0,292,123.0,123.0,-2.523348415655872,-0.46857096724832703
431_normal.svg,normal,12,flos,flos,0,294,118.0,125.0,-2.575028864679101,-0.7129853371831613
383_normal.svg,normal,12,purpose,purpose,0,297,130.0,108.0,-2.3177034322805334,-0.2064556266948194
137_normal.svg,normal,12,Singing of a flower,花を唄う,0,298,115.0,110.0,-2.5832599852699074,-0.8617651123460531
305_normal.svg,normal,12,STROBE LAST,ストロボラスト,0,298,120.0,132.0,-2.5135444621134844,-0.6373356372359915
639_normal.svg,normal,12,,マリオネットダンサー,0,301,112.0,127.0,-2.6612085007110076,-0.986278877632243
600_normal.svg,normal,12,,征け,0,303,135.0,111.0,-2.251007342278186,0.030812317360916247
350_normal.svg,normal,12,Gift from the Princess who Brought Sleep,眠らせ姫からの贈り物,0,304,126.0,135.0,-2.3748769970037107,-0.38835127845590983
330_normal.svg,normal,12,Interviewer,インタビュア,0,305,125.0,145.0,-2.4586077453700312,-0.39168514149374495
476_normal.svg,normal,12,Shadow Shadow,Shadow Shadow,0,306,135.0,129.0,-2.2000912904561623,0.013386555852787994
571_normal.svg,normal,12,,偽物人間40号,0,307,112.0,127.0,-2.616149300581279,-1.0086315822005634
207_normal.svg,normal,12,Peaky Peaky,Peaky Peaky,0,312,132.0,105.0,-2.2258643624582217,-0.1359999189804443
183_normal.svg,normal,12,fixer,フィクサー,0,314,135.0,122.0,-2.147453320595376,-0.008052673059057944
